variant,iteration,seconds,checksum
baseline,0,0.204869000,7.0202042339369655
baseline,1,0.206951000,7.0202042339369655
baseline,2,0.207274000,7.0202042339369655
baseline,3,0.207231000,7.0202042339369655
baseline,4,0.205846000,7.0202042339369655
baseline,5,0.205240000,7.0202042339369655
baseline,6,0.207228000,7.0202042339369655
baseline,7,0.206926000,7.0202042339369655
baseline,8,0.206680000,7.0202042339369655
baseline,9,0.205971000,7.0202042339369655
baseline,10,0.206707000,7.0202042339369655
baseline,11,0.207098000,7.0202042339369655
baseline,12,0.207089000,7.0202042339369655
baseline,13,0.207008000,7.0202042339369655
baseline,14,0.205116000,7.0202042339369655
baseline,15,0.206918000,7.0202042339369655
baseline,16,0.206646000,7.0202042339369655
baseline,17,0.207157000,7.0202042339369655
baseline,18,0.207152000,7.0202042339369655
baseline,19,0.204068000,7.0202042339369655
baseline,20,0.207360000,7.0202042339369655
baseline,21,0.206341000,7.0202042339369655
baseline,22,0.207111000,7.0202042339369655
baseline,23,0.206824000,7.0202042339369655
baseline,24,0.204120000,7.0202042339369655
baseline,25,0.207587000,7.0202042339369655
baseline,26,0.207431000,7.0202042339369655
baseline,27,0.207231000,7.0202042339369655
baseline,28,0.206961000,7.0202042339369655
baseline,29,0.204257000,7.0202042339369655
fused,0,0.216548000,7.0202042339369655
fused,1,0.215685000,7.0202042339369655
fused,2,0.216512000,7.0202042339369655
fused,3,0.215657000,7.0202042339369655
fused,4,0.213515000,7.0202042339369655
fused,5,0.216672000,7.0202042339369655
fused,6,0.215993000,7.0202042339369655
fused,7,0.215904000,7.0202042339369655
fused,8,0.213919000,7.0202042339369655
fused,9,0.216485000,7.0202042339369655
fused,10,0.215738000,7.0202042339369655
fused,11,0.216502000,7.0202042339369655
fused,12,0.215799000,7.0202042339369655
fused,13,0.213808000,7.0202042339369655
fused,14,0.216156000,7.0202042339369655
fused,15,0.216647000,7.0202042339369655
fused,16,0.215884000,7.0202042339369655
fused,17,0.217037000,7.0202042339369655
fused,18,0.213850000,7.0202042339369655
fused,19,0.216748000,7.0202042339369655
fused,20,0.215702000,7.0202042339369655
fused,21,0.215949000,7.0202042339369655
fused,22,0.213226000,7.0202042339369655
fused,23,0.215388000,7.0202042339369655
fused,24,0.216357000,7.0202042339369655
fused,25,0.216016000,7.0202042339369655
fused,26,0.216102000,7.0202042339369655
fused,27,0.212789000,7.0202042339369655
fused,28,0.215819000,7.0202042339369655
fused,29,0.215957000,7.0202042339369655
selected,0,0.205105000,7.0202042339369655
selected,1,0.206974000,7.0202042339369655
selected,2,0.208064000,7.0202042339369655
selected,3,0.210181000,7.0202042339369655
selected,4,0.208862000,7.0202042339369655
selected,5,0.205340000,7.0202042339369655
selected,6,0.208976000,7.0202042339369655
selected,7,0.207797000,7.0202042339369655
selected,8,0.207688000,7.0202042339369655
selected,9,0.210752000,7.0202042339369655
selected,10,0.206338000,7.0202042339369655
selected,11,0.208471000,7.0202042339369655
selected,12,0.208325000,7.0202042339369655
selected,13,0.215356000,7.0202042339369655
selected,14,0.209874000,7.0202042339369655
selected,15,0.207036000,7.0202042339369655
selected,16,0.208640000,7.0202042339369655
selected,17,0.208199000,7.0202042339369655
selected,18,0.208917000,7.0202042339369655
selected,19,0.206248000,7.0202042339369655
selected,20,0.212885000,7.0202042339369655
selected,21,0.209116000,7.0202042339369655
selected,22,0.210011000,7.0202042339369655
selected,23,0.209941000,7.0202042339369655
selected,24,0.207436000,7.0202042339369655
selected,25,0.212901000,7.0202042339369655
selected,26,0.208006000,7.0202042339369655
selected,27,0.208792000,7.0202042339369655
selected,28,0.207961000,7.0202042339369655
selected,29,0.208960000,7.0202042339369655
